i,j,x_m,y_m,temperature_K
27,7,0.171875,0.075000,312.652376
28,7,0.178125,0.075000,312.071776
29,7,0.184375,0.075000,311.522038
30,7,0.190625,0.075000,311.000873
31,7,0.196875,0.075000,310.506207
32,7,0.203125,0.075000,310.036161
33,7,0.209375,0.075000,309.589025
34,7,0.215625,0.075000,309.163244
35,7,0.221875,0.075000,308.757398
36,7,0.228125,0.075000,308.370188
37,7,0.234375,0.075000,308.000424
38,7,0.240625,0.075000,307.647012
39,7,0.246875,0.075000,307.308945
40,7,0.253125,0.075000,306.985294
41,7,0.259375,0.075000,306.675200
42,7,0.265625,0.075000,306.377866
43,7,0.271875,0.075000,306.092552
44,7,0.278125,0.075000,305.818569
45,7,0.284375,0.075000,305.555275
46,7,0.290625,0.075000,305.302068
47,7,0.296875,0.075000,305.058386
48,7,0.303125,0.075000,304.823700
49,7,0.309375,0.075000,304.597514
50,7,0.315625,0.075000,304.379358
51,7,0.321875,0.075000,304.168789
52,7,0.328125,0.075000,303.965390
53,7,0.334375,0.075000,303.768762
54,7,0.340625,0.075000,303.578528
55,7,0.346875,0.075000,303.394330
56,7,0.353125,0.075000,303.215825
57,7,0.359375,0.075000,303.042686
58,7,0.365625,0.075000,302.874600
59,7,0.371875,0.075000,302.711266
60,7,0.378125,0.075000,302.552398
61,7,0.384375,0.075000,302.397717
62,7,0.390625,0.075000,302.246956
63,7,0.396875,0.075000,302.099857
64,7,0.403125,0.075000,301.956171
65,7,0.409375,0.075000,301.815655
66,7,0.415625,0.075000,301.678075
67,7,0.421875,0.075000,301.543203
68,7,0.428125,0.075000,301.410815
69,7,0.434375,0.075000,301.280695
70,7,0.440625,0.075000,301.152630
71,7,0.446875,0.075000,301.026412
72,7,0.453125,0.075000,300.901836
73,7,0.459375,0.075000,300.778703
74,7,0.465625,0.075000,300.656812
75,7,0.471875,0.075000,300.535970
76,7,0.478125,0.075000,300.415983
77,7,0.484375,0.075000,300.296658
78,7,0.490625,0.075000,300.177806
79,7,0.496875,0.075000,300.059237
0,8,0.003125,0.085000,358.521816
1,8,0.009375,0.085000,355.581060
2,8,0.015625,0.085000,352.686051
3,8,0.021875,0.085000,349.863882
4,8,0.028125,0.085000,347.137170
5,8,0.034375,0.085000,344.523315
6,8,0.040625,0.085000,342.034388
7,8,0.046875,0.085000,339.677511
8,8,0.053125,0.085000,337.455542
9,8,0.059375,0.085000,335.367890
10,8,0.065625,0.085000,333.411342
11,8,0.071875,0.085000,331.580815
12,8,0.078125,0.085000,329.869996
13,8,0.084375,0.085000,328.271856
14,8,0.090625,0.085000,326.779048
15,8,0.096875,0.085000,325.384191
16,8,0.103125,0.085000,324.080083
17,8,0.109375,0.085000,322.859825
18,8,0.115625,0.085000,321.716910
19,8,0.121875,0.085000,320.645264
20,8,0.128125,0.085000,319.639264
21,8,0.134375,0.085000,318.693734
22,8,0.140625,0.085000,317.803929
23,8,0.146875,0.085000,316.965512
24,8,0.153125,0.085000,316.174532
25,8,0.159375,0.085000,315.427386
26,8,0.165625,0.085000,314.720797
27,8,0.171875,0.085000,314.051782
28,8,0.178125,0.085000,313.417626
29,8,0.184375,0.085000,312.815855
30,8,0.190625,0.085000,312.244212
31,8,0.196875,0.085000,311.700638
32,8,0.203125,0.085000,311.183252
33,8,0.209375,0.085000,310.690329
34,8,0.215625,0.085000,310.220291
35,8,0.221875,0.085000,309.771684
36,8,0.228125,0.085000,309.343175
37,8,0.234375,0.085000,308.933533
38,8,0.240625,0.085000,308.541620
39,8,0.246875,0.085000,308.166386
40,8,0.253125,0.085000,307.806854
41,8,0.259375,0.085000,307.462120
42,8,0.265625,0.085000,307.131340
43,8,0.271875,0.085000,306.813728
44,8,0.278125,0.085000,306.508550
45,8,0.284375,0.085000,306.215118
46,8,0.290625,0.085000,305.932788
47,8,0.296875,0.085000,305.660954
48,8,0.303125,0.085000,305.399044
49,8,0.309375,0.085000,305.146522
50,8,0.315625,0.085000,304.902877
51,8,0.321875,0.085000,304.667630
52,8,0.328125,0.085000,304.440323
53,8,0.334375,0.085000,304.220522
54,8,0.340625,0.085000,304.007815
55,8,0.346875,0.085000,303.801807
56,8,0.353125,0.085000,303.602123
57,8,0.359375,0.085000,303.408403
58,8,0.365625,0.085000,303.220303
59,8,0.371875,0.085000,303.037490
60,8,0.378125,0.085000,302.859647
61,8,0.384375,0.085000,302.686468
62,8,0.390625,0.085000,302.517655
63,8,0.396875,0.085000,302.352924
64,8,0.403125,0.085000,302.191997
65,8,0.409375,0.085000,302.034605
66,8,0.415625,0.085000,301.880488
67,8,0.421875,0.085000,301.729391
68,8,0.428125,0.085000,301.581067
69,8,0.434375,0.085000,301.435275
70,8,0.440625,0.085000,301.291776
71,8,0.446875,0.085000,301.150340
72,8,0.453125,0.085000,301.010737
73,8,0.459375,0.085000,300.872745
74,8,0.465625,0.085000,300.736142
75,8,0.471875,0.085000,300.600710
76,8,0.478125,0.085000,300.466232
77,8,0.484375,0.085000,300.332495
78,8,0.490625,0.085000,300.199286
79,8,0.496875,0.085000,300.066394
0,9,0.003125,0.095000,358.661114
1,9,0.009375,0.095000,355.994503
2,9,0.015625,0.095000,353.360769
3,9,0.021875,0.095000,350.779889
4,9,0.028125,0.095000,348.269212
5,9,0.034375,0.095000,345.842901
6,9,0.040625,0.095000,343.511711
7,9,0.046875,0.095000,341.283057
8,9,0.053125,0.095000,339.161299
9,9,0.059375,0.095000,337.148156
10,9,0.065625,0.095000,335.243177
11,9,0.071875,0.095000,333.444213
