iteration,residual_K
691,1.1949516164e-2
692,1.1918998542e-2
693,1.1888568699e-2
694,1.1858226354e-2
695,1.1827971225e-2
696,1.1797803035e-2
697,1.1767721503e-2
698,1.1737726353e-2
699,1.1707817307e-2
700,1.1677994089e-2
701,1.1648256423e-2
702,1.1618604036e-2
703,1.1589036654e-2
704,1.1559554003e-2
705,1.1530155811e-2
706,1.1500841808e-2
707,1.1471611722e-2
708,1.1442465284e-2
709,1.1413402225e-2
710,1.1384422277e-2
711,1.1355525174e-2
712,1.1326710648e-2
713,1.1297978433e-2
714,1.1269328266e-2
715,1.1240759882e-2
716,1.1212273019e-2
717,1.1183867413e-2
718,1.1155542803e-2
719,1.1127298929e-2
720,1.1099135530e-2
721,1.1071052348e-2
722,1.1043049125e-2
723,1.1015125602e-2
724,1.0987281523e-2
725,1.0959516633e-2
726,1.0931830677e-2
727,1.0904223399e-2
728,1.0876694547e-2
729,1.0849243869e-2
730,1.0821871111e-2
731,1.0794576024e-2
732,1.0767358357e-2
733,1.0740217861e-2
734,1.0713154287e-2
735,1.0686167387e-2
736,1.0659514259e-2
737,1.0633072924e-2
738,1.0606704308e-2
739,1.0580408189e-2
740,1.0554184345e-2
741,1.0528032554e-2
742,1.0501952597e-2
743,1.0475944252e-2
744,1.0450007301e-2
745,1.0424141524e-2
746,1.0398346703e-2
747,1.0372622621e-2
748,1.0346969061e-2
749,1.0321385807e-2
750,1.0295872643e-2
751,1.0270429354e-2
752,1.0245055725e-2
753,1.0219751544e-2
754,1.0194516597e-2
755,1.0169350671e-2
756,1.0144253556e-2
757,1.0119225039e-2
758,1.0094264911e-2
759,1.0069372961e-2
760,1.0044548980e-2
761,1.0019792760e-2
762,9.9951040934e-3
763,9.9704827720e-3
764,9.9459285893e-3
765,9.9214413394e-3
766,9.8970208172e-3
767,9.8726668174e-3
768,9.8483791363e-3
769,9.8241575703e-3
770,9.8000019165e-3
771,9.7759119725e-3
772,9.7518875370e-3
773,9.7279284088e-3
774,9.7040343878e-3
775,9.6802052740e-3
776,9.6564408683e-3
777,9.6327409724e-3
778,9.6091053884e-3
779,9.5855339189e-3
780,9.5620263675e-3
781,9.5385825380e-3
782,9.5152022353e-3
783,9.4918852644e-3
784,9.4686314312e-3
785,9.4454405423e-3
786,9.4223124046e-3
787,9.3992468260e-3
788,9.3762436146e-3
789,9.3533025795e-3
790,9.3306497764e-3
791,9.3081284691e-3
792,9.2856663900e-3
793,9.2632633659e-3
794,9.2409192247e-3
795,9.2186337943e-3
796,9.1964069030e-3
797,9.1742383804e-3
798,9.1521280557e-3
799,9.1300757589e-3
800,9.1080813208e-3
801,9.0861445724e-3
802,9.0642653452e-3
803,9.0424434711e-3
804,9.0206787830e-3
805,8.9989711137e-3
806,8.9773202968e-3
807,8.9557261664e-3
